Uniq Id,Crawl Timestamp,Pageurl,Price,Product Name,Product Id,Description,Deal Info,Validity,Product Information,Bundle Id,Main Image,Card Price,Deal Title,Store Name
43e7804e100c8132e7ebf7d01c044f60,2024-06-12 03:55:20 +0000,https://www.checkers.co.za/All-Departments/Electronics/Cellphone-and-Tablet/Cellphones/Hisense-Blue-U40-Lite-Dual-SIM-Telkom-Locked-Mobile-Handset-/p/10862813EA,R699.99,Hisense Blue U40 Lite Dual SIM Telkom Locked Mobile Handset,000000000010862813,"Experience the luxury and sophistication of this mobile phone, boasting a stunning screen and elegant design. With its 5-inch display, your browsing, streaming, and app usage will be visually captivating. What's more, the phone's ergonomic design guarantees a comfortable grip. Its sleek and stylish appearance makes it the perfect choice for anyone with an eye for aesthetics.","","","Product Brand=Hisense|Product Width (mm)=64.6|Product Height (mm)=125|Product Length (mm)=10.33|Product Gross Weight (g)=120|What's in the box=1 x Hisense Blue U40 Lite Dual SIM Telkom Locked Mobile Handset |Unit of Measure=EA|Main Barcode=6009706687564|Headphone Jack= Yes|Battery Size= 2000mAh|Batteries Included= Yes|Camera Megapixels= 5|Model Number= U40|Operating System= Android|Rechargeable= Yes|Screen Size= 5""|Benefits & Features= Dual SIM capability for using two phone numbers simultaneously 5"" screen for a clear and immersive viewing experience Luxurious design that exudes elegance and style 1GB RAM for smooth multitasking and efficient performance Telkom locked for secure and reliable network connectivity |Internal Storage Capacity= 8GB|Colour Detail= Blue","",https://www.checkers.co.za//medias/10862813EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3w5ODIwOXxpbWFnZS9wbmd8aW1hZ2VzL2g1Ni9oNmIvMTA2NDE4MDU5MzQ2MjIucG5nfDM5MzAzYzEzZmM1YWUzMTdkNzBkZDk1ZTg1M2ZkMzRhNjEwYzQ2MGMzNjhkNGQ2MjcyZjEyMDYwYzMwNDNiMmI,"","",
280a3cd4c3cb1d42c94e7545f1a27efa,2024-06-12 03:15:15 +0000,https://www.checkers.co.za/All-Departments/Health-and-Beauty/Vitamins/Womens-Vitamins/Wellvita-Multi-Vitamin-For-Women-30-Softgels-Pack/p/10521419EA,R99.99,Wellvita Multi Vitamin For Women 30 Softgels Pack,000000000010521419,"Wellvita Multivitamin Women formulation is a great choice of a daily multivitamin supplement for women. It's enhanced with essential vitamins and minerals, including Calcium, Folic Acid, Vitamin B's and D, that can help meet the female body’s unique nutritional needs and maintain good health.","","",Product Brand=Wellvita|Unit of Measure=EA|Main Barcode=6009880024315,"",https://www.checkers.co.za//medias/10521419EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wyMTc2Mjh8aW1hZ2UvcG5nfGltYWdlcy9oMmYvaDcyLzEwMDQ3MjE0Mzg3MjMwLnBuZ3wzZDVhZjNmYzI0ZmQ2NTgxMjkzNzJhNTdlNmM3ODc1NTM3NmRiNWVkZjZmZmUwYjc3OWE2MTJjOTU3OTM1N2Nl,"","",
08f3f3e7cbeaeeea80515f5c81512014,2024-06-12 03:48:14 +0000,https://www.checkers.co.za/All-Departments/Pets/Pet-Chews-and-Treats/Cat-Snacks-and-Treats/Whiskas-Trio-Poultry-Flavoured-Crunchy-Treats-55g/p/10737520EA,R59.99,Whiskas Trio Poultry Flavoured Crunchy Treats 55g,000000000010737520,"Your cats will absolutely love WHISKAS Trio Crunchy Treats Poultry flavour for its perfectly balanced poultry flavour, crunchiness and variety of fun shapes and colours.","","",Product Brand=Whiskas|Product Weight=55g|What's in the box=1 x Whiskas Trio Poultry Flavoured Crunchy Treats 55g|Unit of Measure=EA|Main Barcode=5998749140192|Colour Detail= Assorted|Style= Cat Food,"",https://www.checkers.co.za//medias/10737520EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wxOTc4MTl8aW1hZ2UvcG5nfGltYWdlcy9oZjcvaGEwLzEwMjU4NDM0MDk3MTgyLnBuZ3w1YTcxZjU4YzkyYzRiMTJkYWY4NWEyMWZlZDQ3YTVkMzBkNTU4MTE5YmU0OTljMzIyM2Q0NGNlNDEzNjU2N2I0,"","",
d44ff71d6a43238509dd2732c7fa89ec,2024-06-12 03:59:06 +0000,https://www.checkers.co.za/All-Departments/Gifts/Party-and-Decorations/Party-Hats-and-Masks/Party-Xpress-Dress-Me-Up-Pink-Beads-Necklaces-3-Pack/p/10768516EA,R19.99,Party Xpress Dress Me Up Pink Beads Necklaces 3 Pack,000000000010768516,"Whether you are the star of the show or an esteemed guest, these pink dress up bead necklaces are an awesome, playful addition to any party outfit. These plastic beads are bound together by a strong string and are designed with an anti-shatter structure.","","",Product Brand=Party Xpress|Product Width (mm)=70|Product Height (mm)=350|Product Length (mm)=10|Product Gross Weight (g)=66|Product Depth (mm)=10|What's in the box=1 x 3 Pack Party Xpress Dress Me Up Pink Beads Necklaces|Unit of Measure=EA|Main Barcode=6009605399704|Style= Beaded Necklaces|Colour= Pink,"",https://www.checkers.co.za//medias/10768516EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wxMDIyOTV8aW1hZ2UvcG5nfGltYWdlcy9oNTIvaGZjLzk4OTcyMjU4Nzk1ODIucG5nfDQ3MTUwOTA3OTlmYzBiNWYxNTk1YzM4ZGMxNjc1MzZmOTVjMTMwMmFkMDI5ZWM0NTJlNGY0MzhiM2VjOWZmOWM,"","",
e5fe91a6e5a4bd337f578b84686d577a,2024-06-12 03:34:27 +0000,https://www.checkers.co.za/All-Departments/Toys/Cars/Die-Cast-Toy-Cars-and-Bikes/Red-Bull-KTM-Die-Cast-Bike-Scale-1%3A18/p/10867628EA,R199.99,Red Bull KTM Die Cast Bike Scale 1:18,000000000010867628,"This amazing 1:18 size die-cast metal motorcycle, complete with complex plastic parts, captures the essence of the renowned Red Bull KTM RC16 with incredible detail and precision. Whether showcased proudly for display or added to a collection, this model is a must-have for enthusiasts and collectors alike, embodying the thrilling spirit of motorcycle racing.","","",Product Brand=Red Bull|Product Width (mm)=70|Product Height (mm)=205|Product Length (mm)=171|What's in the box=1x Red Bull KTM Die Cast Bike Scale 1:18|Unit of Measure=EA|Main Barcode=90159363712|Age Group= 3 Years+|Total Contents= 1|Size= 1:18|Style= Die- Cast Bike|Colour= Multicolour,"",https://www.checkers.co.za//medias/10867628EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3w1MzgyODB8aW1hZ2UvcG5nfGltYWdlcy9oZWQvaGU0LzEwODk5NzM3NjQwOTkwLnBuZ3xjNmQyMGNkM2E1ZDFiYzE3N2EzMGI0YmUxNTA1OTQ3ZWI2NDM0ZWU2ZjIyZjdkNDUyMWY0NTBmNTYyMWJmNDE3,"","",
c296de032f1a525dd642950e63ed8d30,2024-06-12 03:53:16 +0000,https://www.checkers.co.za/All-Departments/Toys/Cars/Remote-Control-Cars/Speed-King-Radio-Control-Car-1%3A16-%28Type-May-Vary%29/p/10726539EA,R199.99,Speed King Radio Control Car 1:16 (Type May Vary),000000000010726539,The Speed King RC Car will provide high octane and impact on how your little one enjoys playing with hours of high speed action!,"","",Product Brand=Unbranded|Product Width (mm)=187|Product Height (mm)=118|Product Length (mm)=333|Product Gross Weight (g)=441|What's in the box=1 x Speed King Radio Control Car 1:16|Unit of Measure=EA|Main Barcode=6001224728729|Age Group= 5 Years +|Total Contents= 1|Colour Detail= Assorted|Style= Radio Control Car|Colour= Multicolour,"",https://www.checkers.co.za//medias/10726539EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wzOTg0MzN8aW1hZ2UvcG5nfGltYWdlcy9oZWMvaGIxLzkyOTIxMTU1NDIwNDYucG5nfDQ2YWZmOThmZDdiZjFmMjY1NTUwZTkzNDFiMDAxMWU5ODg2MDljOTQ2Y2Q1YTY5YTFkOWE2NmEzYWZlYTUyMTk,"","",
7e5ba374a1801dd49a8db2565a56f2fb,2024-06-12 03:22:02 +0000,https://www.checkers.co.za/All-Departments/Gifts/Wrapping-and-Gifting/Gifting-Extras/Creative-Black-Large-Glitter-Confetti-Bow/p/10787821EA,R34.99,Creative Black Large Glitter Confetti Bow,10787821,The vibrant black colour and glittery finish will make it stand out in any setting. The bow is made from high-quality materials and is sure to last for years to come.,"","",Product Brand=Unbranded|Product Width (mm)=70|Product Height (mm)=40|Product Length (mm)=80|Product Gross Weight (g)=0.22|What's in the box=1x Creative Black Large Glitter Confetti Bow|Unit of Measure=EA|Main Barcode=6005347080733|Size= Large|Colour Detail= White Sparkles|Style= Bow|Colour= Black,"",https://www.checkers.co.za//medias/10787821EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3w0ODQ2Mjd8aW1hZ2UvcG5nfGltYWdlcy9oNzcvaGY0LzEwMzczOTQxMTAwNTc0LnBuZ3xiZDhkNDUyYzRlYmZlMjVhYzEyMjNkYWIxYjY4ODVkMzM5YjliZDgwOTliZTA5YjZlNjZjN2Q1OTFmYmI1MTdi,"","",
a6465453868e91610d5a89ce2f5148f2,2024-06-12 03:12:19 +0000,https://www.checkers.co.za/All-Departments/Food/Food-Cupboard/Chocolates-and-Sweets/Chocolates-and-Sweet-Party-Packs/Avengers-Lucky-Packet/p/10404931EA,R59.99,Avengers Lucky Packet,000000000010404931,Feeling lucky? See whats inside.,"","",Product Brand=Avengers|Unit of Measure=EA|Main Barcode=6009645926625|Sub Brand= Lacey's,"",https://www.checkers.co.za//medias/10404931EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3wzMTc1Mjl8aW1hZ2UvcG5nfGltYWdlcy9oNzYvaDI3Lzg5OTUxNjY4MTQyMzgucG5nfDBjMDc5MWJlOWFmNzk2MjUzOGNhMjRiNTU5MDZmYzY5NTZiYWEzY2ZmMjkwZDkyMjNmYTZhM2QwMzExY2FlYWQ,"","",
e75d52b59dec6ef5a35258a48a7703e6,2024-06-12 03:16:18 +0000,https://www.checkers.co.za/All-Departments/Food/Food-Cupboard/Chocolates-and-Sweets/Mints-and-Chewing-Gum/Mentos-Spearmint-Flavoured-Soft-Mints/p/10131205EA,R14.99,Mentos Spearmint Flavoured Soft Mints,000000000010131205,Mentos Chewy Mints are offered in several refreshing flavor varieties. Mentos Spearmint provides the benefit of a mint with an enjoyable chew!,"","",Product Brand=Mentos|Unit of Measure=EA|Main Barcode=87108040,"",https://www.checkers.co.za//medias/10131205EA-20190726-Media-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3w4MjkyOHxpbWFnZS9wbmd8aW1hZ2VzL2gxMS9oNDcvODg2MTAwODM2MzU1MC5wbmd8ZjkzYzFhNzY4Yjc2OTY0NjdiOTMxMDYwZTAyNTM2Nzg1NDcxODY5OWExOTU5NzIxM2RhY2FhNDk3OGQ4NDFlYw,"","",
18e9fa73523d93090d2680ac3ddda3df,2024-06-12 03:34:06 +0000,https://www.checkers.co.za/All-Departments/Clothing-and-Footwear/Stockings%2C-Socks-and-Tights/Socks/Bare-Basics-Men%27s-Fashion-Anklet-Socks-Size-7-11/p/10604616EA,R39.99,Bare Basics Men's Fashion Anklet Socks Size 7-11,000000000010604616,An essential item for any fashionable and contemporary man are the Advanced Men Ultra Fashion Socks. These socks are ideal for guys who wish to dress up or dress down their outfits.,Save R5,16 June 2024,Product Brand=Bare Basics|Product Width (mm)=85|Product Height (mm)=20|Product Length (mm)=270|Product Gross Weight (g)=0.04|What's in the box=1x Pair Men's Fashion Anklet Socks|Unit of Measure=EA|Main Barcode=6001224432466|Size= 7 to 11|Colour Detail= Multicolour|Style= Anklet Socks|Colour= Multicoloured,200776175,https://www.checkers.co.za//medias/10604616EA-checkers515Wx515H?context=bWFzdGVyfGltYWdlc3w0NDAwMzh8aW1hZ2UvcG5nfGltYWdlcy9oOGQvaDZiLzExMDM1NzUxNDgxMzc0LnBuZ3w5Nzk4Y2Q4NTE5NzAwOWZlOWUzYmQ2YTY5ZjNkODgwYzM5MjhjMjNiMGZjNDZiNGVlNWUxYjdlMWExYWUzOGJh,R34.99,Buy Bare Basics Men's Fashion Anklet Socks Size 7-11 And Save R5,
